insert into cars (name, color, speed, type, model_id, created_at) values ('Suzuki', 'Goldenrod', 357, 'light', 150, '2016-03-20');
insert into cars (name, color, speed, type, model_id, created_at) values ('Hyundai', 'Orange', 299, 'heavy', 22, '2023-12-30');
insert into cars (name, color, speed, type, model_id, created_at) values ('GMC', 'Puce', 321, 'light', 83, '2016-07-18');
insert into cars (name, color, speed, type, model_id, created_at) values ('Toyota', 'Green', 402, 'light', 27, '2020-01-21');
insert into cars (name, color, speed, type, model_id, created_at) values ('BMW', 'Green', 261, 'light', 39, '2017-11-30');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Fuscia', 191, 'light', 109, '2013-12-18');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Maroon', 251, 'heavy', 26, '2016-04-24');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Purple', 298, 'heavy', 40, '2023-07-29');
insert into cars (name, color, speed, type, model_id, created_at) values ('Cadillac', 'Puce', 370, 'heavy', 40, '2012-12-27');
insert into cars (name, color, speed, type, model_id, created_at) values ('Toyota', 'Indigo', 228, 'heavy', 108, '2015-12-18');
insert into cars (name, color, speed, type, model_id, created_at) values ('Audi', 'Violet', 167, 'heavy', 23, '2024-02-14');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lincoln', 'Yellow', 241, 'heavy', 117, '2020-09-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('Pontiac', 'Khaki', 353, 'light', 119, '2014-01-20');
insert into cars (name, color, speed, type, model_id, created_at) values ('Toyota', 'Red', 288, 'light', 162, '2011-03-21');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Pink', 140, 'heavy', 158, '2017-12-06');
insert into cars (name, color, speed, type, model_id, created_at) values ('Dodge', 'Blue', 270, 'heavy', 131, '2019-10-21');
insert into cars (name, color, speed, type, model_id, created_at) values ('Toyota', 'Puce', 217, 'heavy', 94, '2014-11-20');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mercedes-Benz', 'Yellow', 380, 'heavy', 100, '2012-11-02');
insert into cars (name, color, speed, type, model_id, created_at) values ('Audi', 'Pink', 370, 'light', 102, '2023-10-03');
insert into cars (name, color, speed, type, model_id, created_at) values ('BMW', 'Puce', 334, 'light', 24, '2016-08-01');
insert into cars (name, color, speed, type, model_id, created_at) values ('Plymouth', 'Purple', 371, 'heavy', 111, '2019-09-10');
insert into cars (name, color, speed, type, model_id, created_at) values ('Plymouth', 'Crimson', 188, 'light', 126, '2018-06-06');
insert into cars (name, color, speed, type, model_id, created_at) values ('Volkswagen', 'Blue', 186, 'light', 59, '2024-02-28');
insert into cars (name, color, speed, type, model_id, created_at) values ('Hyundai', 'Khaki', 257, 'heavy', 155, '2013-10-30');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Purple', 247, 'light', 92, '2011-11-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('BMW', 'Pink', 351, 'heavy', 81, '2016-03-27');
insert into cars (name, color, speed, type, model_id, created_at) values ('Kia', 'Yellow', 304, 'light', 44, '2017-06-20');
insert into cars (name, color, speed, type, model_id, created_at) values ('Jaguar', 'Turquoise', 365, 'heavy', 82, '2016-10-02');
insert into cars (name, color, speed, type, model_id, created_at) values ('Plymouth', 'Orange', 377, 'heavy', 34, '2021-06-24');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Turquoise', 253, 'light', 145, '2012-03-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('Buick', 'Puce', 213, 'heavy', 107, '2012-10-14');
insert into cars (name, color, speed, type, model_id, created_at) values ('Subaru', 'Aquamarine', 142, 'light', 56, '2016-01-04');
insert into cars (name, color, speed, type, model_id, created_at) values ('Pontiac', 'Orange', 302, 'light', 125, '2012-08-18');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ram', 'Green', 307, 'heavy', 148, '2023-09-12');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mercedes-Benz', 'Blue', 311, 'light', 138, '2011-12-15');
insert into cars (name, color, speed, type, model_id, created_at) values ('Dodge', 'Goldenrod', 312, 'heavy', 15, '2017-03-25');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Mauv', 149, 'heavy', 34, '2013-08-21');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mercury', 'Yellow', 200, 'heavy', 10, '2018-09-10');
insert into cars (name, color, speed, type, model_id, created_at) values ('GMC', 'Crimson', 206, 'light', 4, '2013-08-07');
insert into cars (name, color, speed, type, model_id, created_at) values ('BMW', 'Goldenrod', 169, 'light', 40, '2023-02-15');
insert into cars (name, color, speed, type, model_id, created_at) values ('Hyundai', 'Indigo', 373, 'heavy', 120, '2012-08-11');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Khaki', 371, 'heavy', 104, '2013-10-16');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lexus', 'Pink', 338, 'light', 148, '2012-07-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mazda', 'Pink', 381, 'light', 59, '2017-10-12');
insert into cars (name, color, speed, type, model_id, created_at) values ('Buick', 'Pink', 245, 'heavy', 64, '2016-09-12');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Goldenrod', 303, 'heavy', 44, '2022-03-31');
insert into cars (name, color, speed, type, model_id, created_at) values ('Subaru', 'Goldenrod', 221, 'heavy', 4, '2019-06-01');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Fuscia', 348, 'light', 113, '2010-05-12');
insert into cars (name, color, speed, type, model_id, created_at) values ('GMC', 'Puce', 208, 'light', 156, '2022-02-21');
insert into cars (name, color, speed, type, model_id, created_at) values ('Nissan', 'Pink', 333, 'heavy', 122, '2017-02-09');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Khaki', 173, 'heavy', 136, '2021-10-27');
insert into cars (name, color, speed, type, model_id, created_at) values ('Jeep', 'Indigo', 267, 'light', 60, '2020-06-26');
insert into cars (name, color, speed, type, model_id, created_at) values ('Shelby', 'Crimson', 244, 'light', 116, '2014-01-16');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mercedes-Benz', 'Puce', 230, 'light', 52, '2015-10-20');
insert into cars (name, color, speed, type, model_id, created_at) values ('Acura', 'Khaki', 174, 'light', 82, '2020-01-08');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mazda', 'Blue', 275, 'light', 163, '2024-04-16');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Puce', 169, 'light', 133, '2014-03-11');
insert into cars (name, color, speed, type, model_id, created_at) values ('Hyundai', 'Fuscia', 323, 'light', 154, '2021-03-09');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lamborghini', 'Violet', 301, 'heavy', 60, '2013-12-21');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mitsubishi', 'Aquamarine', 283, 'heavy', 111, '2018-11-24');
insert into cars (name, color, speed, type, model_id, created_at) values ('Maserati', 'Goldenrod', 167, 'heavy', 108, '2012-07-31');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Violet', 269, 'heavy', 2, '2016-08-02');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Goldenrod', 292, 'light', 22, '2017-12-05');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mazda', 'Khaki', 364, 'heavy', 164, '2022-12-05');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lotus', 'Khaki', 244, 'heavy', 61, '2012-04-24');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lincoln', 'Aquamarine', 252, 'light', 27, '2018-03-13');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Turquoise', 182, 'heavy', 79, '2017-01-04');
insert into cars (name, color, speed, type, model_id, created_at) values ('Hyundai', 'Purple', 373, 'light', 127, '2014-01-05');
insert into cars (name, color, speed, type, model_id, created_at) values ('Aston Martin', 'Violet', 154, 'light', 102, '2022-12-05');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Pink', 142, 'heavy', 115, '2012-07-25');
insert into cars (name, color, speed, type, model_id, created_at) values ('Hyundai', 'Crimson', 306, 'light', 88, '2019-03-12');
insert into cars (name, color, speed, type, model_id, created_at) values ('Nissan', 'Goldenrod', 373, 'heavy', 49, '2022-01-19');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lotus', 'Orange', 286, 'heavy', 133, '2015-01-10');
insert into cars (name, color, speed, type, model_id, created_at) values ('Isuzu', 'Maroon', 244, 'heavy', 111, '2018-05-03');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Teal', 244, 'heavy', 28, '2017-06-09');
insert into cars (name, color, speed, type, model_id, created_at) values ('Suzuki', 'Violet', 235, 'heavy', 2, '2020-01-08');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mercedes-Benz', 'Puce', 141, 'heavy', 148, '2014-10-25');
insert into cars (name, color, speed, type, model_id, created_at) values ('Honda', 'Goldenrod', 270, 'heavy', 18, '2019-11-03');
insert into cars (name, color, speed, type, model_id, created_at) values ('Subaru', 'Fuscia', 316, 'light', 67, '2015-12-19');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lamborghini', 'Green', 180, 'heavy', 2, '2016-11-29');
insert into cars (name, color, speed, type, model_id, created_at) values ('Volkswagen', 'Turquoise', 285, 'light', 54, '2013-06-16');
insert into cars (name, color, speed, type, model_id, created_at) values ('GMC', 'Orange', 369, 'light', 47, '2023-03-29');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Maroon', 167, 'heavy', 8, '2017-03-31');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mazda', 'Pink', 196, 'light', 15, '2020-07-22');
insert into cars (name, color, speed, type, model_id, created_at) values ('Dodge', 'Aquamarine', 332, 'light', 46, '2024-03-10');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Green', 202, 'heavy', 14, '2013-09-01');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Red', 187, 'light', 25, '2013-04-10');
insert into cars (name, color, speed, type, model_id, created_at) values ('Honda', 'Goldenrod', 375, 'light', 34, '2022-11-20');
insert into cars (name, color, speed, type, model_id, created_at) values ('Audi', 'Green', 405, 'light', 152, '2021-10-25');
insert into cars (name, color, speed, type, model_id, created_at) values ('Dodge', 'Mauv', 361, 'heavy', 35, '2014-01-09');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Maroon', 319, 'light', 42, '2020-08-07');
insert into cars (name, color, speed, type, model_id, created_at) values ('Buick', 'Yellow', 307, 'light', 106, '2021-01-05');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mitsubishi', 'Crimson', 151, 'heavy', 70, '2014-02-28');
insert into cars (name, color, speed, type, model_id, created_at) values ('Toyota', 'Aquamarine', 401, 'light', 31, '2021-06-20');
insert into cars (name, color, speed, type, model_id, created_at) values ('BMW', 'Yellow', 280, 'heavy', 63, '2017-09-18');
insert into cars (name, color, speed, type, model_id, created_at) values ('Oldsmobile', 'Indigo', 240, 'light', 19, '2010-07-21');
insert into cars (name, color, speed, type, model_id, created_at) values ('Toyota', 'Aquamarine', 141, 'light', 60, '2012-07-24');
insert into cars (name, color, speed, type, model_id, created_at) values ('Hyundai', 'Mauv', 390, 'heavy', 128, '2016-10-10');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Red', 313, 'heavy', 57, '2016-11-21');
insert into cars (name, color, speed, type, model_id, created_at) values ('Honda', 'Mauv', 393, 'heavy', 103, '2018-03-27');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Yellow', 183, 'heavy', 108, '2019-01-10');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mazda', 'Maroon', 152, 'heavy', 134, '2023-01-28');
insert into cars (name, color, speed, type, model_id, created_at) values ('Cadillac', 'Aquamarine', 245, 'heavy', 121, '2024-02-09');
insert into cars (name, color, speed, type, model_id, created_at) values ('Honda', 'Puce', 269, 'heavy', 143, '2011-03-12');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Crimson', 323, 'heavy', 141, '2010-08-16');
insert into cars (name, color, speed, type, model_id, created_at) values ('Infiniti', 'Khaki', 247, 'heavy', 139, '2017-09-28');
insert into cars (name, color, speed, type, model_id, created_at) values ('Kia', 'Turquoise', 188, 'heavy', 79, '2021-03-25');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mercury', 'Pink', 247, 'heavy', 132, '2012-03-17');
insert into cars (name, color, speed, type, model_id, created_at) values ('BMW', 'Turquoise', 222, 'light', 124, '2023-11-19');
insert into cars (name, color, speed, type, model_id, created_at) values ('Acura', 'Indigo', 351, 'light', 4, '2010-05-21');
insert into cars (name, color, speed, type, model_id, created_at) values ('Honda', 'Mauv', 373, 'light', 11, '2013-06-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('Cadillac', 'Yellow', 299, 'light', 25, '2015-03-11');
insert into cars (name, color, speed, type, model_id, created_at) values ('Scion', 'Indigo', 210, 'light', 160, '2021-09-16');
insert into cars (name, color, speed, type, model_id, created_at) values ('Volkswagen', 'Indigo', 356, 'light', 112, '2013-09-12');
insert into cars (name, color, speed, type, model_id, created_at) values ('GMC', 'Pink', 348, 'heavy', 12, '2013-10-29');
insert into cars (name, color, speed, type, model_id, created_at) values ('Audi', 'Violet', 339, 'heavy', 52, '2012-12-16');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mercury', 'Crimson', 202, 'heavy', 139, '2020-04-11');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mitsubishi', 'Purple', 384, 'heavy', 61, '2012-03-31');
insert into cars (name, color, speed, type, model_id, created_at) values ('GMC', 'Red', 377, 'heavy', 63, '2012-02-08');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mazda', 'Mauv', 252, 'light', 144, '2010-12-04');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mazda', 'Green', 195, 'heavy', 86, '2021-01-05');
insert into cars (name, color, speed, type, model_id, created_at) values ('Honda', 'Puce', 221, 'heavy', 102, '2015-11-11');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lexus', 'Puce', 321, 'light', 157, '2016-03-15');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mercedes-Benz', 'Khaki', 167, 'heavy', 159, '2023-04-22');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Orange', 392, 'heavy', 3, '2012-04-09');
insert into cars (name, color, speed, type, model_id, created_at) values ('Suzuki', 'Green', 290, 'heavy', 112, '2016-07-28');
insert into cars (name, color, speed, type, model_id, created_at) values ('GMC', 'Puce', 344, 'light', 61, '2012-08-24');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Blue', 233, 'light', 101, '2011-05-26');
insert into cars (name, color, speed, type, model_id, created_at) values ('Hyundai', 'Teal', 206, 'light', 20, '2010-08-02');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lexus', 'Crimson', 408, 'heavy', 5, '2020-07-11');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Puce', 349, 'light', 70, '2013-01-14');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mercedes-Benz', 'Crimson', 195, 'light', 159, '2020-08-31');
insert into cars (name, color, speed, type, model_id, created_at) values ('Aston Martin', 'Teal', 390, 'light', 162, '2015-08-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Crimson', 224, 'heavy', 126, '2011-11-25');
insert into cars (name, color, speed, type, model_id, created_at) values ('BMW', 'Yellow', 309, 'light', 151, '2019-02-21');
insert into cars (name, color, speed, type, model_id, created_at) values ('Nissan', 'Purple', 266, 'heavy', 147, '2022-01-31');
insert into cars (name, color, speed, type, model_id, created_at) values ('Isuzu', 'Pink', 287, 'heavy', 156, '2018-06-19');
insert into cars (name, color, speed, type, model_id, created_at) values ('Nissan', 'Turquoise', 168, 'light', 126, '2016-03-01');
insert into cars (name, color, speed, type, model_id, created_at) values ('GMC', 'Crimson', 256, 'heavy', 165, '2023-09-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('Cadillac', 'Goldenrod', 242, 'heavy', 102, '2012-05-28');
insert into cars (name, color, speed, type, model_id, created_at) values ('Subaru', 'Goldenrod', 262, 'heavy', 64, '2021-01-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chrysler', 'Puce', 174, 'light', 77, '2022-06-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chrysler', 'Turquoise', 188, 'heavy', 42, '2014-03-04');
insert into cars (name, color, speed, type, model_id, created_at) values ('Oldsmobile', 'Fuscia', 362, 'light', 141, '2018-09-15');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Goldenrod', 381, 'heavy', 97, '2013-06-14');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mazda', 'Turquoise', 370, 'heavy', 6, '2019-12-19');
insert into cars (name, color, speed, type, model_id, created_at) values ('Scion', 'Crimson', 143, 'light', 104, '2015-06-29');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Blue', 322, 'heavy', 121, '2014-06-25');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lexus', 'Indigo', 230, 'light', 51, '2011-01-17');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lexus', 'Blue', 346, 'light', 70, '2012-11-09');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Fuscia', 249, 'light', 66, '2012-07-25');
insert into cars (name, color, speed, type, model_id, created_at) values ('Porsche', 'Yellow', 322, 'heavy', 118, '2023-05-22');
insert into cars (name, color, speed, type, model_id, created_at) values ('Oldsmobile', 'Teal', 263, 'heavy', 51, '2022-08-22');
insert into cars (name, color, speed, type, model_id, created_at) values ('Audi', 'Yellow', 189, 'heavy', 64, '2011-10-10');
insert into cars (name, color, speed, type, model_id, created_at) values ('BMW', 'Aquamarine', 365, 'light', 160, '2016-02-08');
insert into cars (name, color, speed, type, model_id, created_at) values ('Dodge', 'Crimson', 397, 'light', 75, '2016-07-31');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Maroon', 330, 'light', 25, '2023-04-03');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mitsubishi', 'Goldenrod', 303, 'light', 93, '2016-05-17');
insert into cars (name, color, speed, type, model_id, created_at) values ('Hyundai', 'Yellow', 391, 'heavy', 76, '2013-01-31');
insert into cars (name, color, speed, type, model_id, created_at) values ('Citroën', 'Yellow', 370, 'light', 133, '2010-11-09');
insert into cars (name, color, speed, type, model_id, created_at) values ('Subaru', 'Pink', 373, 'heavy', 14, '2015-03-03');
insert into cars (name, color, speed, type, model_id, created_at) values ('Subaru', 'Violet', 281, 'light', 115, '2017-06-29');
insert into cars (name, color, speed, type, model_id, created_at) values ('Honda', 'Khaki', 286, 'heavy', 54, '2015-02-28');
insert into cars (name, color, speed, type, model_id, created_at) values ('Volkswagen', 'Fuscia', 391, 'heavy', 58, '2024-03-25');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mazda', 'Pink', 314, 'light', 58, '2017-07-11');
insert into cars (name, color, speed, type, model_id, created_at) values ('Scion', 'Purple', 349, 'light', 46, '2018-03-09');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Orange', 355, 'light', 59, '2012-10-14');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Maroon', 219, 'light', 37, '2011-03-31');
insert into cars (name, color, speed, type, model_id, created_at) values ('Jaguar', 'Orange', 346, 'light', 130, '2018-08-03');
insert into cars (name, color, speed, type, model_id, created_at) values ('Jaguar', 'Maroon', 301, 'heavy', 38, '2023-10-22');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lamborghini', 'Indigo', 316, 'heavy', 88, '2014-02-25');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mazda', 'Red', 313, 'heavy', 88, '2012-04-07');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mazda', 'Turquoise', 186, 'light', 37, '2012-07-29');
insert into cars (name, color, speed, type, model_id, created_at) values ('Dodge', 'Violet', 210, 'heavy', 138, '2020-02-29');
insert into cars (name, color, speed, type, model_id, created_at) values ('Land Rover', 'Fuscia', 141, 'light', 121, '2013-09-02');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mercury', 'Yellow', 223, 'light', 59, '2022-08-19');
insert into cars (name, color, speed, type, model_id, created_at) values ('BMW', 'Blue', 269, 'heavy', 47, '2021-07-09');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chrysler', 'Green', 203, 'heavy', 130, '2014-12-09');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mitsubishi', 'Pink', 235, 'light', 106, '2022-04-30');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Yellow', 146, 'heavy', 37, '2021-12-09');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Turquoise', 312, 'heavy', 59, '2018-10-17');
insert into cars (name, color, speed, type, model_id, created_at) values ('Pontiac', 'Mauv', 268, 'light', 77, '2023-10-03');
insert into cars (name, color, speed, type, model_id, created_at) values ('Infiniti', 'Pink', 177, 'heavy', 119, '2024-02-15');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lamborghini', 'Green', 341, 'light', 32, '2021-03-05');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mitsubishi', 'Puce', 206, 'light', 72, '2012-09-06');
insert into cars (name, color, speed, type, model_id, created_at) values ('Aptera', 'Puce', 283, 'light', 111, '2015-04-07');
insert into cars (name, color, speed, type, model_id, created_at) values ('Nissan', 'Puce', 177, 'light', 30, '2022-03-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lincoln', 'Fuscia', 190, 'heavy', 160, '2018-10-26');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Fuscia', 387, 'light', 33, '2023-11-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('Toyota', 'Maroon', 341, 'light', 21, '2012-12-20');
insert into cars (name, color, speed, type, model_id, created_at) values ('Chevrolet', 'Mauv', 226, 'light', 23, '2021-11-04');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Goldenrod', 289, 'heavy', 52, '2019-03-27');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Maroon', 363, 'light', 23, '2017-12-03');
insert into cars (name, color, speed, type, model_id, created_at) values ('Saab', 'Mauv', 360, 'light', 68, '2015-03-26');
insert into cars (name, color, speed, type, model_id, created_at) values ('Infiniti', 'Puce', 385, 'heavy', 146, '2011-08-14');
insert into cars (name, color, speed, type, model_id, created_at) values ('Pontiac', 'Purple', 146, 'heavy', 91, '2013-02-06');
insert into cars (name, color, speed, type, model_id, created_at) values ('Audi', 'Yellow', 377, 'heavy', 72, '2017-03-26');
insert into cars (name, color, speed, type, model_id, created_at) values ('Mazda', 'Orange', 315, 'light', 158, '2017-09-19');
insert into cars (name, color, speed, type, model_id, created_at) values ('Lotus', 'Yellow', 270, 'heavy', 47, '2012-01-26');
insert into cars (name, color, speed, type, model_id, created_at) values ('Audi', 'Purple', 339, 'light', 7, '2017-02-04');
insert into cars (name, color, speed, type, model_id, created_at) values ('Pontiac', 'Green', 364, 'heavy', 127, '2022-01-06');
insert into cars (name, color, speed, type, model_id, created_at) values ('Kia', 'Teal', 376, 'heavy', 35, '2016-07-20');
insert into cars (name, color, speed, type, model_id, created_at) values ('Jeep', 'Indigo', 268, 'heavy', 131, '2019-11-20');
insert into cars (name, color, speed, type, model_id, created_at) values ('Acura', 'Orange', 263, 'heavy', 26, '2022-12-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('Ford', 'Purple', 330, 'light', 96, '2018-07-28');
insert into cars (name, color, speed, type, model_id, created_at) values ('Volvo', 'Maroon', 270, 'light', 7, '2015-05-13');
insert into cars (name, color, speed, type, model_id, created_at) values ('Volkswagen', 'Blue', 303, 'light', 74, '2019-06-23');
insert into cars (name, color, speed, type, model_id, created_at) values ('Bugatti', 'Yellow', 186, 'light', 130, '2022-08-19');
insert into cars (name, color, speed, type, model_id, created_at) values ('GMC', 'Purple', 250, 'heavy', 84, '2011-07-19');
insert into cars (name, color, speed, type, model_id, created_at) values ('Volkswagen', 'Mauv', 404, 'light', 138, '2023-05-25');
insert into cars (name, color, speed, type, model_id, created_at) values ('Audi', 'Goldenrod', 247, 'light', 36, '2022-08-08');
insert into cars (name, color, speed, type, model_id, created_at) values ('Pontiac', 'Goldenrod', 166, 'light', 26, '2023-07-11');
insert into cars (name, color, speed, type, model_id, created_at) values ('BMW', 'Red', 280, 'heavy', 25, '2023-08-17');
insert into cars (name, color, speed, type, model_id, created_at) values ('Dodge', 'Purple', 171, 'heavy', 47, '2015-12-16');
